===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,DoubleSMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
468,,468,2020-01-20 11:00:00,8653.65,8663.17,8603.97,8615.25,1692.12,,DoubleSMACross,468,737444.4583333334,Broker,468,10890.58035652579,10890.58035652579,BuySell,468,,8793.117549999999,Trades - Net Profit/Loss,468,,-59.618006567818185
469,,469,2020-01-20 12:00:00,8615.25,8640.0,8545.0,8583.09,2863.64,,DoubleSMACross,469,737444.5,Broker,469,10890.58035652579,10890.58035652579,BuySell,469,,,Trades - Net Profit/Loss,469,,
470,,470,2020-01-20 13:00:00,8583.09,8643.98,8521.28,8606.61,3229.57,,DoubleSMACross,470,737444.5416666666,Broker,470,10890.58035652579,10890.58035652579,BuySell,470,,,Trades - Net Profit/Loss,470,,
471,,471,2020-01-20 14:00:00,8606.61,8670.0,8588.13,8660.56,2540.53,,DoubleSMACross,471,737444.5833333334,Broker,471,10890.58035652579,10890.58035652579,BuySell,471,,,Trades - Net Profit/Loss,471,,
472,,472,2020-01-20 15:00:00,8660.56,8678.55,8638.3,8675.38,1567.21,,DoubleSMACross,472,737444.625,Broker,472,10890.58035652579,10890.58035652579,BuySell,472,,,Trades - Net Profit/Loss,472,,
473,,473,2020-01-20 16:00:00,8675.38,8709.31,8652.39,8668.51,1989.3,,DoubleSMACross,473,737444.6666666666,Broker,473,10890.58035652579,10890.58035652579,BuySell,473,,,Trades - Net Profit/Loss,473,,
474,,474,2020-01-20 17:00:00,8668.51,8677.93,8641.71,8641.8,902.45,,DoubleSMACross,474,737444.7083333334,Broker,474,10890.58035652579,10890.58035652579,BuySell,474,,,Trades - Net Profit/Loss,474,,
475,,475,2020-01-20 18:00:00,8641.8,8686.04,8640.15,8664.84,1018.94,,DoubleSMACross,475,737444.75,Broker,475,10890.58035652579,10890.58035652579,BuySell,475,,,Trades - Net Profit/Loss,475,,
476,,476,2020-01-20 19:00:00,8664.84,8682.15,8660.0,8673.67,781.58,,DoubleSMACross,476,737444.7916666666,Broker,476,10890.58035652579,10890.58035652579,BuySell,476,,,Trades - Net Profit/Loss,476,,
477,,477,2020-01-20 20:00:00,8673.67,8678.6,8660.0,8676.07,583.25,,DoubleSMACross,477,737444.8333333334,Broker,477,10890.58035652579,10890.58035652579,BuySell,477,,,Trades - Net Profit/Loss,477,,
478,,478,2020-01-20 21:00:00,8676.07,8694.0,8664.16,8692.76,706.97,,DoubleSMACross,478,737444.875,Broker,478,10890.58035652579,10890.58035652579,BuySell,478,,,Trades - Net Profit/Loss,478,,
479,,479,2020-01-20 22:00:00,8692.76,8746.99,8645.0,8654.85,2217.67,,DoubleSMACross,479,737444.9166666666,Broker,479,10890.58035652579,10890.58035652579,BuySell,479,,,Trades - Net Profit/Loss,479,,
480,,480,2020-01-20 23:00:00,8654.85,8683.24,8616.0,8642.35,2016.49,,DoubleSMACross,480,737444.9583333334,Broker,480,98.12412901229553,10864.226958382935,BuySell,480,8486.76,,Trades - Net Profit/Loss,480,,
481,,481,2020-01-21 00:00:00,8642.35,8664.86,8618.0,8644.52,1323.66,,DoubleSMACross,481,737445.0,Broker,481,98.12412901229553,10866.93020959814,BuySell,481,,,Trades - Net Profit/Loss,481,,
482,,482,2020-01-21 01:00:00,8644.52,8666.3,8636.81,8656.19,588.97,,DoubleSMACross,482,737445.0416666666,Broker,482,98.12412901229553,10881.467970741667,BuySell,482,,,Trades - Net Profit/Loss,482,,
483,,483,2020-01-21 02:00:00,8656.19,8678.0,8648.0,8665.66,688.22,,DoubleSMACross,483,737445.0833333334,Broker,483,98.12412901229553,10893.265108533371,BuySell,483,,,Trades - Net Profit/Loss,483,,
484,,484,2020-01-21 03:00:00,8665.66,8683.0,8658.14,8674.1,661.1,,DoubleSMACross,484,737445.125,Broker,484,98.12412901229553,10903.77913630127,BuySell,484,,,Trades - Net Profit/Loss,484,,
485,,485,2020-01-21 04:00:00,8674.1,8699.84,8669.72,8670.83,793.1,,DoubleSMACross,485,737445.1666666666,Broker,485,98.12412901229553,10899.705573410152,BuySell,485,,,Trades - Net Profit/Loss,485,,
486,,486,2020-01-21 05:00:00,8670.83,8680.56,8643.58,8660.09,769.48,,DoubleSMACross,486,737445.2083333334,Broker,486,98.12412901229553,10886.326348501714,BuySell,486,,,Trades - Net Profit/Loss,486,,
487,,487,2020-01-21 06:00:00,8660.09,8669.48,8632.05,8649.34,933.27,,DoubleSMACross,487,737445.25,Broker,487,98.12412901229553,10872.934666214403,BuySell,487,,,Trades - Net Profit/Loss,487,,
