close,high,low,open,volume,baseVolume,datetime
9351.48,9398.99,9303.2,9312.93,2047.28,19148919.44,2020-02-03 11:00:00
9347.12,9373.97,9335.11,9351.48,1201.98,11245847.9,2020-02-03 12:00:00
9331.05,9350.53,9307.0,9347.12,1955.28,18237631.63,2020-02-03 13:00:00
9353.61,9365.79,9302.01,9331.05,2283.02,21325439.25,2020-02-03 14:00:00
9270.0,9355.13,9265.0,9353.61,4162.26,38742097.12,2020-02-03 15:00:00
9263.67,9331.5,9255.0,9270.0,3318.4,30825842.69,2020-02-03 16:00:00
9293.37,9304.02,9234.0,9263.67,1921.65,17818036.66,2020-02-03 17:00:00
9308.37,9317.03,9259.47,9293.37,1207.74,11218227.83,2020-02-03 18:00:00
9316.7,9318.79,9290.14,9308.37,738.75,6873307.2,2020-02-03 19:00:00
9318.04,9344.02,9297.02,9316.7,998.75,9309037.73,2020-02-03 20:00:00
9287.58,9318.09,9273.55,9318.04,653.31,6072652.55,2020-02-03 21:00:00
9274.05,9303.82,9260.0,9287.58,583.55,5418191.73,2020-02-03 22:00:00
9292.24,9319.99,9251.01,9274.05,1257.05,11674540.95,2020-02-03 23:00:00
9330.09,9350.0,9290.63,9292.24,1618.6,15097198.99,2020-02-04 00:00:00
9275.97,9344.02,9270.0,9330.09,964.28,8970986.12,2020-02-04 01:00:00
9301.56,9307.69,9275.97,9275.97,832.27,7735749.67,2020-02-04 02:00:00
9282.95,9305.0,9262.14,9301.56,984.41,9140864.54,2020-02-04 03:00:00
9271.25,9315.91,9255.0,9282.95,1829.95,16994790.83,2020-02-04 04:00:00
9289.34,9295.94,9227.58,9271.25,2433.73,22537083.85,2020-02-04 05:00:00
9274.77,9299.0,9250.0,9289.34,1387.09,12862816.29,2020-02-04 06:00:00
9278.63,9318.89,9257.0,9274.77,2304.55,21404835.35,2020-02-04 07:00:00
9239.8,9297.16,9238.2,9278.63,2069.91,19183218.49,2020-02-04 08:00:00
9172.16,9327.0,9161.0,9239.8,3929.97,36206778.06,2020-02-04 09:00:00
9170.92,9198.96,9153.78,9172.16,2782.64,25544548.18,2020-02-04 10:00:00
9182.81,9249.9,9108.0,9170.92,4262.09,39167813.29,2020-02-04 11:00:00
9133.41,9204.57,9100.0,9182.81,3315.09,30290609.62,2020-02-04 12:00:00
9157.85,9159.66,9093.01,9133.41,2365.47,21583756.89,2020-02-04 13:00:00
9153.51,9171.98,9115.0,9157.85,2204.35,20157720.16,2020-02-04 14:00:00
9206.47,9236.72,9144.0,9153.51,4552.97,41885417.6,2020-02-04 15:00:00
9225.4,9240.0,9200.0,9206.47,2553.64,23542402.32,2020-02-04 16:00:00
9228.0,9232.55,9200.62,9225.4,1283.0,11819442.09,2020-02-04 17:00:00
9195.57,9240.0,9173.9,9228.0,1593.07,14674586.61,2020-02-04 18:00:00
9186.37,9208.0,9176.0,9195.57,1088.45,10001536.32,2020-02-04 19:00:00
9204.64,9205.98,9151.0,9186.37,1462.71,13421094.44,2020-02-04 20:00:00
9169.09,9207.02,9165.29,9204.64,1048.72,9634529.8,2020-02-04 21:00:00
9202.48,9203.09,9161.18,9169.09,926.84,8509429.51,2020-02-04 22:00:00
9197.02,9220.19,9178.72,9202.48,1086.31,9989477.54,2020-02-04 23:00:00
9224.65,9240.0,9185.0,9197.02,2035.24,18744088.84,2020-02-05 00:00:00
9189.6,9245.87,9189.05,9224.65,1405.68,12957757.04,2020-02-05 01:00:00
9226.98,9229.52,9177.22,9189.6,1051.32,9669957.94,2020-02-05 02:00:00
9239.19,9242.0,9205.89,9226.98,1192.19,10992969.94,2020-02-05 03:00:00
9244.35,9245.0,9216.75,9239.19,1132.95,10460425.48,2020-02-05 04:00:00
9276.43,9289.99,9232.03,9244.35,2649.18,24524902.29,2020-02-05 05:00:00
9267.0,9300.0,9263.84,9276.43,1564.23,14521431.94,2020-02-05 06:00:00
9274.53,9298.0,9256.53,9267.0,1392.6,12919053.89,2020-02-05 07:00:00
9258.53,9276.98,9232.75,9274.53,1900.55,17581572.84,2020-02-05 08:00:00
9254.68,9276.92,9246.15,9258.53,1402.19,12985402.8,2020-02-05 09:00:00
9383.46,9403.68,9250.0,9254.68,5420.54,50615662.26,2020-02-05 10:00:00
9418.48,9421.75,9363.78,9383.46,3220.31,30264956.24,2020-02-05 11:00:00
9451.17,9475.18,9414.35,9418.48,4040.7,38179799.8,2020-02-05 12:00:00
9448.87,9466.65,9410.0,9451.17,2069.97,19544931.66,2020-02-05 13:00:00
9445.62,9479.0,9412.0,9448.87,1938.14,18297841.79,2020-02-05 14:00:00
